cohort_month,cohort_size,m0_count,m0_rate,m1_count,m1_rate,m2_count,m2_rate,m3_count,m3_rate,m4_count,m4_rate
2019-10,25762,25762,1.0,4763.0,0.18488471391972672,3293.0,0.12782392671376447,3399.0,0.13193851409052093,2692.0,0.10449499262479621
2019-11,26761,26761,1.0,2618.0,0.09782893015956055,2716.0,0.1014909756735548,2119.0,0.07918239228728373,,
2019-12,19702,19702,1.0,1678.0,0.08516901837376915,1272.0,0.06456197340371536,,,,
2020-01,20427,20427,1.0,1810.0,0.08860821461790767,,,,,,
2020-02,17866,17866,1.0,,,,,,,,
