rfm_segment,users,avg_recency_days,avg_frequency,avg_monetary,total_revenue
Champions,17320,11.492867039816952,32.24665127020785,148.34796073903004,2569386.68
Regular buyers,43147,50.27552978797075,8.770157832526015,40.70019027974135,1756091.11
At-risk loyal buyers,13943,101.82949569394306,18.721580721509,77.25153697195725,1077118.18
Inactive buyers,20655,104.95894350529422,2.433502783829581,24.06544952795933,497071.86
High-value occasional buyers,3339,28.01550531804266,2.470500149745433,73.85233303384247,246592.94
New buyers,12114,15.143595332191405,2.5211325738814594,16.653797259369327,201744.1
