date,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,non_positive_price_events,purchase_per_view_rate,cart_per_view_rate,avg_purchase_price
2019-10-01,142414,61209,46916,25813,8476,43497.17,159,0.13847636785440048,0.7664885882795014,5.131803916941953
2019-10-02,201068,76497,89124,26347,9100,45746.2,153,0.11895891342144137,1.165065296678301,5.027054945054945
2019-10-03,124847,56934,35745,23303,8865,43380.98,301,0.15570660765096428,0.6278322267889135,4.893511562323745
2019-10-04,115612,53674,31347,23029,7562,35887.15,150,0.14088758057905132,0.5840257852964191,4.745722031208675
2019-10-05,106343,49411,31201,19791,5940,29228.55,96,0.12021614620226266,0.6314585820971039,4.920631313131313
2019-10-06,187383,72916,81376,25826,7265,33167.8,159,0.09963519666465522,1.1160239179329638,4.565423262216105
2019-10-07,181451,75899,66954,29222,9376,46837.58,214,0.12353258936217869,0.8821460098288515,4.995475682593857
2019-10-08,148944,64948,47364,28028,8604,43015.61,127,0.13247521093798115,0.7292603313419966,4.999489772198977
2019-10-09,139901,65433,37991,28013,8464,44051.02,250,0.12935369003408068,0.580609172741583,5.204515595463137
2019-10-10,132634,60949,36620,26948,8117,42017.69,242,0.1331769184071929,0.6008302023002838,5.176504866329926
2019-10-11,119195,57104,31451,23718,6922,36024.56,208,0.12121742785093864,0.5507670215746707,5.204357122219012
2019-10-12,111166,52637,30480,21618,6431,32269.39,68,0.12217641582916959,0.5790603567832513,5.017787280360753
2019-10-13,116755,53938,33367,22362,7088,35686.3,87,0.1314101375653528,0.6186176721420891,5.0347488713318285
2019-10-14,133258,62188,37722,25344,8004,40785.22,176,0.12870650286228855,0.6065800475976073,5.095604697651175
2019-10-15,130030,59861,37521,24349,8299,40471.08,295,0.13863784433938625,0.6268020915120028,4.87662127967225
2019-10-16,136043,63004,38408,25535,9096,42755.28,165,0.1443717859183544,0.6096120881213891,4.700448548812664
2019-10-17,133870,61975,37136,25523,9236,45325.16,226,0.1490278338039532,0.5992093586123437,4.907444781290603
2019-10-18,119073,57520,31044,22589,7920,39829.67,596,0.1376912378303199,0.5397079276773297,5.028998737373737
2019-10-19,104300,49687,27626,20923,6064,29598.43,116,0.12204399541127457,0.5560005635276833,4.881007585751979
2019-10-20,114682,52728,31843,23275,6836,34260.94,65,0.1296464876346533,0.6039106357153694,5.011840257460504
2019-10-21,139662,63882,39921,26987,8872,45934.86,203,0.13888106195798502,0.6249178172255095,5.177509017132552
2019-10-22,136370,62447,37443,27837,8643,42496.42,245,0.13840536775185358,0.5995964577962112,4.9168598866134445
2019-10-23,133764,61594,37351,26105,8714,42503.91,202,0.14147481897587427,0.6064064681624833,4.8776577920587565
2019-10-24,129841,59668,35715,25679,8779,43363.3,388,0.1471307903733995,0.5985620433062948,4.939435015377606
2019-10-25,111774,52941,31214,20595,7024,32350.47,182,0.1326759978088816,0.5895997431102548,4.605704726651481
2019-10-26,109133,51364,30590,21884,5295,25359.18,67,0.10308776575033098,0.5955533058173039,4.789269121813032
2019-10-27,127318,57408,36209,25885,7816,37083.45,92,0.13614827201783725,0.6307309085841695,4.744556038894575
2019-10-28,132132,63197,36515,24054,8366,40842.98,189,0.1323797015681124,0.5777964143867589,4.882020081281377
2019-10-29,134769,64004,37444,24849,8472,39202.6,293,0.13236672707955752,0.5850259358790075,4.627313503305005
2019-10-30,125597,59665,35289,22708,7935,38832.06,243,0.1329925416911087,0.591452275203218,4.893769376181474
2019-10-31,122954,57482,33458,23971,8043,39733.42,129,0.13992206255871403,0.5820604711039977,4.940124331717021
2019-11-01,119114,52769,33715,24869,7761,37126.24,418,0.14707498720839887,0.6389167882658379,4.783692823089808
2019-11-02,113560,52468,32330,21340,7422,33607.52,36,0.14145765037737287,0.6161851033010597,4.528094853139315
2019-11-03,126029,57796,35693,24742,7798,36535.25,65,0.13492283202989827,0.6175686898747318,4.685207745575789
2019-11-04,138500,62236,38911,29300,8053,39500.54,80,0.12939456263255994,0.625216916254258,4.905071401962002
2019-11-05,150276,69121,41941,30327,8887,41859.68,520,0.12857163524833262,0.6067765223304061,4.7102149206706425
2019-11-06,142348,65622,39977,28039,8710,42386.49,247,0.13272987717533755,0.609201182530249,4.866416762342135
2019-11-07,190194,79051,54412,40242,16489,80731.96,358,0.208586861646279,0.6883151383284208,4.8961101340287465
2019-11-08,171636,73470,45942,35596,16628,83522.43,285,0.22632366952497618,0.6253164556962025,5.022999158046668
2019-11-09,114158,55895,31260,21561,5442,27384.52,73,0.09736112353519993,0.5592629036586457,5.032069092245498
2019-11-10,121377,57304,34782,23083,6208,31481.27,115,0.10833449671925172,0.6069733351947508,5.071080863402062
2019-11-11,137928,65547,37393,26067,8921,45773.61,168,0.13610081315697134,0.5704761468869666,5.130995404102679
2019-11-12,130829,61304,37119,24222,8184,39656.42,217,0.13349862977945975,0.6054906694506068,4.845603616813294
2019-11-13,139665,64956,38714,27561,8434,44419.25,144,0.12984173902333887,0.5960034484882074,5.266688404078729
2019-11-14,132756,61726,37903,25495,7632,39889.73,276,0.12364319735605742,0.6140524252340991,5.22664177148847
2019-11-15,122915,56736,35244,24075,6860,35068.92,182,0.12091088550479413,0.6211928934010152,5.112087463556851
2019-11-16,112832,51399,31515,22889,7029,35052.38,140,0.13675363333917,0.6131442245958093,4.986823161189358
2019-11-17,125744,57499,35922,24386,7937,37324.53,186,0.13803718325536096,0.624741299848693,4.702599218848431
2019-11-18,151701,68757,42258,31093,9593,47077.15,366,0.13952033974722575,0.6145992408045726,4.907448139268217
2019-11-19,140565,66085,40071,25166,9243,45493.85,699,0.13986532496027843,0.6063554513127033,4.9219787947636044
2019-11-20,139748,63611,39627,27637,8873,43038.97,1022,0.1394884532549402,0.6229582933769316,4.850554491152936
2019-11-21,220932,89914,66809,48086,16123,78061.0,779,0.17931579064439354,0.7430322307983184,4.841592755690629
2019-11-22,270074,111247,81387,54660,22780,102783.33,139,0.2047695668197794,0.7315882675487878,4.511998683055312
2019-11-23,199751,85173,57410,41685,15483,70424.04,53,0.1817829593885386,0.6740398952719758,4.548475101724471
2019-11-24,207607,86745,56195,44203,20464,87953.9,80,0.23590985071185658,0.6478183180586777,4.297981821735731
2019-11-25,142350,69497,37729,28134,6990,32914.67,122,0.10057988114594875,0.542886743312661,4.708822603719599
2019-11-26,134721,65876,35996,24809,8040,38881.74,220,0.12204748315016091,0.5464205476956706,4.836037313432835
2019-11-27,146034,69249,40383,28193,8209,40180.04,1227,0.11854322806105504,0.5831564354719924,4.894632720185163
2019-11-28,224940,95786,66940,45240,16974,77470.54,1977,0.17720752510805338,0.6988495187188107,4.564070932013667
2019-11-29,206154,88786,58640,40736,17992,78143.19,1081,0.20264456107944948,0.6604644876444484,4.343218652734548
2019-11-30,161399,70507,45589,32045,13258,57273.74,367,0.18803806714226956,0.6465882820145518,4.319938150550611
2019-12-01,127579,59528,34525,26290,7236,32701.1,378,0.12155624244053219,0.5799791694664695,4.519223327805417
2019-12-02,134714,64921,36202,24512,9079,43304.28,792,0.1398468908365552,0.557631583000878,4.769719132063003
2019-12-03,137687,63503,38986,26981,8217,38703.91,279,0.12939546163173393,0.6139237516337811,4.710223926007059
2019-12-04,137253,65472,37450,25960,8371,41233.5,287,0.12785618279569894,0.5720002443792767,4.925755584756899
2019-12-05,127346,61445,33650,24484,7767,37379.7,658,0.12640572870046382,0.5476442346814224,4.812630359212051
2019-12-06,120309,56883,32779,23264,7383,36516.54,728,0.1297927324508201,0.5762530105655468,4.946030069077611
2019-12-07,110485,53910,28769,21783,6023,27908.62,355,0.11172324244110554,0.5336486737154517,4.633674248713266
2019-12-08,121400,57435,33089,24281,6595,32046.51,99,0.11482545486201794,0.5761121267519805,4.859213040181956
2019-12-09,156687,73983,41938,31472,9294,45978.2,353,0.12562345403673816,0.5668599543138289,4.947084140305573
2019-12-10,148027,68677,38997,30559,9794,47542.27,264,0.14260960729210653,0.5678320252777495,4.854224014702879
2019-12-11,144392,69931,38149,26922,9390,45395.76,237,0.13427521413965193,0.5455234445381877,4.834479233226837
2019-12-12,138363,65577,36814,26576,9396,44951.44,292,0.14328194336428932,0.5613858517468014,4.784103873988932
2019-12-13,121305,59932,30280,23297,7796,37855.33,134,0.1300807581926183,0.5052392711739973,4.855737557721909
2019-12-14,110444,53099,29102,22205,6038,30544.5,92,0.11371212263884442,0.54807058513343,5.058711493872143
2019-12-15,121682,60275,31313,23075,7019,35424.67,44,0.11644960597262546,0.5195022812111157,5.046968229092463
2019-12-16,140946,67282,37235,27203,9226,47316.07,194,0.13712434232038287,0.5534169614458547,5.128557337957945
2019-12-17,130639,63779,33538,24897,8425,43714.89,183,0.1320967716646545,0.5258470656485678,5.188710979228486
2019-12-18,129070,64313,33259,23680,7818,42605.93,340,0.12156173712935177,0.5171427238660924,5.449722435405475
2019-12-19,116253,58848,29272,20990,7143,37653.8,326,0.1213805057096248,0.4974170744970092,5.271426571468571
2019-12-20,99237,49265,26223,17441,6308,34870.09,239,0.12804222064345885,0.5322845833756217,5.5279153455928975
2019-12-21,97020,49525,24893,16999,5603,28779.7,44,0.11313478041393235,0.5026350328117113,5.136480456898091
2019-12-22,106284,52169,28040,19989,6086,33169.24,48,0.11665931875251587,0.5374839464049531,5.450088728228721
2019-12-23,116431,58344,30308,20840,6939,36717.56,211,0.11893253805018511,0.5194707253530783,5.2914771580919435
2019-12-24,109832,54577,29626,18728,6901,36863.4,341,0.12644520585594665,0.5428293969987358,5.341747572815534
2019-12-25,107267,54129,27340,19127,6671,33660.8,133,0.12324262410168302,0.5050896931404607,5.0458402038674866
2019-12-26,91702,46670,23547,15571,5914,31428.06,106,0.12671952003428327,0.5045425326762374,5.3141799120730475
2019-12-27,81306,41300,20035,15265,4706,24544.19,126,0.11394673123486683,0.4851089588377724,5.215509987250319
2019-12-28,81312,41477,20967,14082,4786,26292.42,100,0.11538925187453287,0.5055090773199604,5.493610530714584
2019-12-29,75556,40668,18647,12748,3493,21296.68,101,0.08589062653683485,0.45851775351627816,6.09695963355282
2019-12-30,61662,34198,15088,9743,2633,14237.95,88,0.07699280659687702,0.4411953915433651,5.407500949487277
2019-12-31,31096,17216,7063,5691,1126,6987.74,35,0.06540427509293681,0.41025789962825276,6.205808170515097
2020-01-01,80940,39631,21874,16166,3269,16765.95,70,0.08248593272942899,0.5519416618303853,5.128770266136433
2020-01-02,103157,49914,27823,20545,4875,25067.09,36,0.09766798894097849,0.5574187602676604,5.141967179487179
2020-01-03,116893,55440,31022,24400,6031,32840.06,45,0.10878427128427129,0.5595598845598846,5.445209749626927
2020-01-04,116617,55937,30756,23322,6602,32513.2,39,0.1180256359833384,0.5498328476679121,4.924750075734626
2020-01-05,121732,58225,32703,23577,7227,35698.71,48,0.12412194074710176,0.5616659510519536,4.939630552096306
2020-01-06,107842,52689,28788,19997,6368,35742.24,41,0.12086014158553018,0.5463759038888573,5.612788944723618
