category_key,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,purchase_per_view_rate,avg_purchase_price
category_id:1487580011652186237,77896,41814,19142,12803,4137,29394.0,0.09893815468503372,7.105148658448151
category_id:1511892746070131099,63716,28503,17697,14477,3039,27863.53,0.10662035575202611,9.168650871997368
category_id:1487580011627020412,73482,36621,21124,11436,4301,25304.89,0.11744627399579476,5.883489886073006
category_id:1487580009177546772,32940,27834,2933,1458,715,25083.54,0.0256880074728749,35.08187412587413
category_id:1487580009143992338,85562,53711,18390,9949,3512,25000.17,0.0653869784587887,7.118499430523918
category_id:1487580007306888126,68610,28252,20991,12906,6461,24483.74,0.22869177403369673,3.789466026930816
category_id:1487580007432717250,142951,65057,38144,30770,8980,24300.95,0.13803280200439613,2.706119153674833
category_id:2115334439910245200,146174,86244,30716,23343,5871,24240.35,0.06807430082092668,4.1288281383069325
category_id:1597770225539875791,34909,20087,8090,4897,1835,23319.48,0.09135261611987854,12.70816348773842
category_id:1487580009286598681,371318,69864,203248,64344,33862,22963.82,0.484684529943891,0.6781589982871655
category_id:1487580011702517887,69365,41531,15250,9554,3030,22669.52,0.07295754978209049,7.4816897689768975
category_id:1487580014009385185,24742,16251,4751,2655,1085,22591.82,0.06676512214632946,20.821953917050692
category_id:1487580008313521133,67435,39372,15310,9495,3258,22295.11,0.08274916184090217,6.843189073050952
category_id:1487580008447738866,39364,22746,9405,4962,2251,22116.85,0.09896245493713181,9.825344291426033
category_id:1487580004857414477,82649,31771,23589,23429,3860,22050.11,0.12149444461930692,5.712463730569948
category_id:1487580009496313889,81332,41876,20881,12913,5662,21039.19,0.13520871143375682,3.7158583539385375
category_id:1487580012994363565,44402,19805,11782,9638,3177,20809.71,0.16041403685937894,6.550113314447592
category_id:1487580008288355308,63046,35201,15535,9090,3220,20202.57,0.09147467401494276,6.274090062111801
category_id:1658462125284131265,97753,37855,28846,25643,5409,19877.29,0.14288733324527803,3.674854871510446
category_id:1487580013749338323,72712,47163,14829,7409,3311,19667.01,0.07020333736191506,5.939900332225913
category_id:1487580010125459512,68218,37435,15991,9815,4977,19533.46,0.1329504474422332,3.92474583082178
category_id:1487580008187692007,91329,31871,30654,20085,8719,18977.28,0.2735715854538609,2.176543181557518
category_id:1487580006551913373,59784,23814,18579,10607,6784,18865.7,0.28487444360460235,2.780910966981132
furniture.bathroom.bath,23931,15087,4758,2924,1162,18710.24,0.07701995095115,16.101755593803787
category_id:1897124478404526487,64526,24237,19450,16251,4588,18330.88,0.18929735528324462,3.9953966870095905
category_id:1487580011677352062,38218,23127,7936,5560,1595,18210.29,0.06896700825874519,11.417109717868339
category_id:1487580013011140782,68885,27526,23641,10976,6742,18117.63,0.24493206423018238,2.687278255710472
category_id:1487580006895846315,46401,22668,12073,8502,3158,17655.76,0.1393153343920946,5.590804306523116
category_id:1487580013506068678,46348,28323,10244,5737,2044,17487.52,0.07216749638103308,8.555538160469668
category_id:1487580011853512836,34010,15595,9875,5978,2562,17058.19,0.16428342417441488,6.658153786104605
category_id:1487580006434472855,28366,21609,3700,2058,999,16732.73,0.04623073719283632,16.74947947947948
category_id:1542195323827388674,48558,34090,8251,4777,1440,16293.98,0.042241126430038134,11.31526388888889
category_id:1487580010628776014,68580,21116,22967,19038,5459,16106.92,0.2585243417313885,2.9505257373145266
category_id:1487580005008409427,67854,26555,20531,17654,3114,16052.23,0.11726605159103747,5.154858702633269
category_id:1487580009471148064,142534,45106,55531,29350,12547,15907.78,0.2781669844366603,1.2678552642065832
category_id:1487580012969197740,38261,13972,11941,9106,3242,15830.56,0.2320354995705697,4.882961135101789
category_id:1924049110428549877,42201,19083,11969,9215,1934,15764.58,0.10134674841481947,8.151282316442606
category_id:2193074740552270669,32256,10704,11301,6635,3616,15671.15,0.33781763826606875,4.333835730088495
category_id:2195085255034011676,56269,26813,15554,8922,4980,15393.11,0.18573080222280236,3.0909859437751006
category_id:1487580013858390233,67624,24239,26198,11106,6081,14615.54,0.2508766863319444,2.403476401907581
category_id:1487580007634043851,125390,34100,44946,33144,13200,14469.77,0.3870967741935484,1.096194696969697
category_id:1487580007936033754,77836,37665,22152,12552,5467,14318.24,0.14514801539891145,2.619030546917871
stationery.cartrige,59728,20583,23392,9426,6327,14107.07,0.3073895933537385,2.229661767030188
category_id:1487580012021285001,34196,22341,6438,3914,1503,14084.68,0.06727541291795354,9.371044577511643
