cohort_month,cohort_size,m0_count,m0_rate,m1_count,m1_rate,m2_count,m2_rate,m3_count,m3_rate,m4_count,m4_rate
2019-10,399664,399664,1.0,54796.0,0.1371051683414068,36346.0,0.09094139076824533,31750.0,0.07944173105408543,26953.0,0.06743914888506346
2019-11,313436,313436,1.0,34347.0,0.10958217945609311,21942.0,0.07000472185709364,17424.0,0.05559029594558379,,
2019-12,299461,299461,1.0,27443.0,0.09164131556362932,15609.0,0.05212364882238422,,,,
2020-01,328938,328938,1.0,33210.0,0.10096127537712274,,,,,,
2020-02,297859,297859,1.0,,,,,,,,
