price_bucket,events,view_events,cart_events,remove_from_cart_events,purchase_events,revenue,purchase_per_view_rate,avg_purchase_price
non-positive,104288,30492,49370,24299,127,-3825.42,0.004165026892299619,-30.121417322834645
$0-1,2146923,576247,919747,447766,203163,126152.72,0.3525623560730034,0.6209433804383673
$1-5,10275695,4181596,3080067,2307506,706526,1966410.11,0.1689608465284547,2.7832098323345495
$5-10,4686002,2449087,1151278,832926,252711,1681548.37,0.10318579944281277,6.654037101669497
$10-20,2023114,1250091,410961,267764,94298,1263687.51,0.07543290848426235,13.401000127256145
$20-50,884432,669727,117612,73677,23416,684718.05,0.03496350005300667,29.24146096686027
$50-100,383269,331788,28049,18245,5187,357939.4,0.015633476798437556,69.00701754385966
$100+,189117,168793,11249,7496,1579,271374.13,0.009354653332780388,171.86455351488283
